trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.99, 'e': 0.6479999999999997}",25,0,-62.51823963255772,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
172,False,"{'a': 0.99, 'e': 0.6459999999999997}",25,0,-53.59053942774305,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
173,False,"{'a': 0.99, 'e': 0.6439999999999997}",20,0,-74.89544555463056,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
174,False,"{'a': 0.99, 'e': 0.6419999999999997}",25,0,-56.841157743571664,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
175,False,"{'a': 0.99, 'e': 0.6399999999999997}",20,0,-95.99476832219386,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
176,False,"{'a': 0.99, 'e': 0.6379999999999997}",20,7,-4.757512929304135,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.99, 'e': 0.6359999999999997}",30,0,-144.33224723053587,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
178,False,"{'a': 0.99, 'e': 0.6339999999999997}",30,2,-118.88235770997774,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 3}",1
179,False,"{'a': 0.99, 'e': 0.6319999999999997}",30,0,-40.617357763522826,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
180,False,"{'a': 0.99, 'e': 0.6299999999999997}",20,0,-62.77393718986504,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
181,False,"{'a': 0.99, 'e': 0.6279999999999997}",20,0,-38.53972938514531,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
182,False,"{'a': 0.99, 'e': 0.6259999999999997}",35,0,-212.52392801622963,"{0: 22, 1: 2, 2: 7, 3: 0, 4: 4}",0
183,False,"{'a': 0.99, 'e': 0.6239999999999997}",20,15,-14.098671756327352,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
184,False,"{'a': 0.99, 'e': 0.6219999999999997}",25,0,-83.7562174143111,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
185,False,"{'a': 0.99, 'e': 0.6199999999999997}",30,0,-105.67380032309461,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
186,False,"{'a': 0.99, 'e': 0.6179999999999997}",30,0,-79.47275682124436,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
187,False,"{'a': 0.99, 'e': 0.6159999999999997}",25,0,-197.2440417312658,"{0: 16, 1: 0, 2: 3, 3: 3, 4: 3}",0
188,False,"{'a': 0.99, 'e': 0.6139999999999997}",20,0,-38.24216860523701,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
189,False,"{'a': 0.99, 'e': 0.6119999999999997}",25,13,-18.227476848971254,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
190,False,"{'a': 0.99, 'e': 0.6099999999999997}",20,0,-20.96843327087091,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
191,False,"{'a': 0.99, 'e': 0.6079999999999997}",20,8,-22.735118249199992,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
192,False,"{'a': 0.99, 'e': 0.6059999999999997}",20,4,-17.482967624644193,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
193,False,"{'a': 0.99, 'e': 0.6039999999999996}",30,0,-230.75561223996237,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 5}",0
194,False,"{'a': 0.99, 'e': 0.6019999999999996}",30,2,-53.97488244470239,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 1}",1
195,False,"{'a': 0.99, 'e': 0.5999999999999996}",30,0,-75.05881885430655,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
196,False,"{'a': 0.99, 'e': 0.5979999999999996}",20,0,-86.78719346226278,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
197,False,"{'a': 0.99, 'e': 0.5959999999999996}",20,0,-51.82169026558322,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
198,False,"{'a': 0.99, 'e': 0.5939999999999996}",35,11,-69.42285148642124,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 1}",1
199,False,"{'a': 0.99, 'e': 0.5919999999999996}",25,0,-62.25423039481771,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
200,False,"{'a': 0.99, 'e': 0.5899999999999996}",20,0,-64.48509083222805,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
201,False,"{'a': 0.99, 'e': 0.5879999999999996}",20,0,-24.954852117973342,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
202,False,"{'a': 0.99, 'e': 0.5859999999999996}",25,0,-31.36696226863247,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
203,False,"{'a': 0.99, 'e': 0.5839999999999996}",25,13,9.114914572856469,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.99, 'e': 0.5819999999999996}",20,0,-41.857344619357804,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
205,False,"{'a': 0.99, 'e': 0.5799999999999996}",25,11,-75.28633730733702,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
